image_id,label
7201,4
7202,4
7203,6
7204,5
7205,4
7206,2
7207,6
7208,5
7209,2
7210,6
7211,4
7212,4
7213,4
7214,4
7215,4
7216,5
7217,4
7218,4
7219,4
7220,2
7221,2
7222,3
7223,4
7224,2
7225,2
7226,1
7227,2
7228,5
7229,6
7230,2
7231,5
7232,2
7233,4
7234,4
7235,2
7236,4
7237,3
7238,4
7239,4
7240,4
7241,6
7242,3
7243,1
7244,5
7245,2
7246,2
7247,4
7248,4
7249,5
7250,2
7251,2
7252,5
7253,2
7254,2
7255,5
7256,2
7257,2
7258,6
7259,4
7260,3
7261,5
7262,3
7263,2
7264,2
7265,4
7266,2
7267,4
7268,5
7269,2
7270,3
7271,4
7272,4
7273,2
7274,2
7275,2
7276,4
7277,5
7278,2
7279,2
7280,6
7281,5
7282,5
7283,5
7284,4
7285,2
7286,3
7287,4
7288,4
7289,2
7290,6
7291,4
7292,6
7293,5
7294,2
7295,2
7296,4
7297,2
7298,4
7299,2
7300,2
7301,4
7302,5
7303,5
7304,5
7305,4
7306,2
7307,4
7308,4
7309,5
7310,2
7311,6
7312,5
7313,6
7314,5
7315,5
7316,4
7317,5
7318,2
7319,2
7320,2
7321,6
7322,2
7323,2
7324,5
7325,4
7326,2
7327,6
7328,5
7329,4
7330,2
7331,6
7332,5
7333,2
7334,2
7335,2
7336,2
7337,3
7338,5
7339,4
7340,2
7341,6
7342,5
7343,4
7344,5
7345,2
7346,6
7347,4
7348,5
7349,2
7350,2
7351,4
7352,4
7353,4
7354,2
7355,4
7356,2
7357,6
7358,5
7359,5
7360,4
7361,2
7362,4
7363,2
7364,2
7365,2
7366,2
7367,4
7368,2
7369,4
7370,2
7371,4
7372,4
7373,5
7374,6
7375,5
7376,6
7377,4
7378,2
7379,4
7380,2
7381,4
7382,4
7383,6
7384,4
7385,2
7386,2
7387,2
7388,5
7389,5
7390,3
7391,4
7392,5
7393,2
7394,6
7395,4
7396,3
7397,3
7398,2
7399,2
7400,2
7401,4
7402,5
7403,4
7404,4
7405,2
7406,4
7407,4
7408,2
7409,2
7410,2
